IP地址,端口,IP段,大洲,国家,城市
217.196.101.121,443,217.196.100.0/23,EU,DE,Frankfurt am Main
139.162.145.35,2053,139.162.0.0/16,EU,DE,Frankfurt am Main
157.90.119.128,2096,157.90.0.0/16,EU,DE,Nuremberg
172.86.69.45,443,172.86.68.0/23,EU,DE,Frankfurt am Main
91.107.241.90,56879,91.107.128.0/17,EU,DE,Nuremberg
164.92.132.226,8443,164.92.128.0/17,EU,DE,Frankfurt am Main
51.195.100.92,2053,51.195.0.0/16,EU,DE,Limburg an der Lahn
77.105.147.173,8443,77.105.146.0/23,EU,DE,Frankfurt am Main
109.107.181.38,13966,109.107.181.0/24,EU,DE,Frankfurt am Main
139.162.133.162,51241,139.162.0.0/16,EU,DE,Frankfurt am Main
45.135.165.245,443,45.135.165.0/24,EU,DE,Frankfurt am Main
5.75.206.217,2020,5.75.128.0/17,EU,DE,Nuremberg
18.197.218.69,443,18.192.0.0/13,EU,DE,Frankfurt am Main
139.162.133.162,42865,139.162.0.0/16,EU,DE,Frankfurt am Main
178.236.253.118,443,178.236.253.0/24,EU,DE,Frankfurt am Main
159.100.9.253,2053,159.100.0.0/20,EU,DE,N/A
18.184.55.249,443,18.176.0.0/12,EU,DE,Frankfurt am Main
104.248.241.182,443,104.248.0.0/16,EU,DE,Frankfurt am Main
213.226.68.24,443,213.226.68.0/22,EU,DE,Frankfurt am Main
89.58.43.143,8888,89.58.0.0/18,EU,DE,Nuremberg
130.61.107.238,8443,130.61.0.0/16,EU,DE,Frankfurt am Main
171.22.120.111,443,171.22.120.0/23,EU,DE,Frankfurt am Main
148.251.134.189,443,148.251.0.0/16,EU,DE,Falkenstein
45.32.153.123,8443,45.32.0.0/16,EU,DE,Frankfurt am Main
51.75.70.34,443,51.75.0.0/16,EU,DE,N/A
212.113.116.93,443,212.113.116.0/24,EU,DE,Frankfurt am Main
194.76.173.108,2053,194.76.173.0/24,EU,DE,Limburg an der Lahn
128.140.11.25,25690,128.140.0.0/17,EU,DE,Nuremberg
45.67.216.25,8443,45.67.216.0/23,EU,DE,Düsseldorf
207.154.235.176,2053,207.154.192.0/18,EU,DE,Frankfurt am Main
18.193.131.26,443,18.192.0.0/13,EU,DE,Frankfurt am Main
139.162.133.162,36075,139.162.0.0/16,EU,DE,Frankfurt am Main
49.13.83.179,2040,49.12.0.0/15,EU,DE,Falkenstein
45.67.216.25,443,45.67.216.0/23,EU,DE,Düsseldorf
45.14.247.108,443,45.14.244.0/22,EU,DE,Frankfurt am Main
3.75.170.179,443,3.64.0.0/12,EU,DE,Frankfurt am Main
51.75.75.109,8443,51.75.0.0/16,EU,DE,N/A
91.107.196.135,443,91.107.128.0/17,EU,DE,Falkenstein
51.75.75.132,8443,51.75.0.0/16,EU,DE,N/A
3.68.31.54,443,3.64.0.0/12,EU,DE,Frankfurt am Main
176.124.221.118,2053,176.124.220.0/23,EU,DE,Frankfurt am Main
194.24.161.146,4090,194.24.161.0/24,EU,DE,N/A
